SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],F05[C-N],TPSA(NO),RDF115v,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,GGI8,RDF045m,Mor26p,alvo
2.09333860058524,100.42,44.6942801306409,25,16,100.42,8.21835142630258,6.61224028779264,6.61224028779264,2,0.656360229276896,11.080949599431,-0.305227312858822,6.3872161432802645
2.09250978605232,100.42,45.5212473603952,25,16,100.42,8.0856034510842,6.61224028779264,6.61224028779264,2,0.656360229276896,17.2354122081233,-0.32420931239765,6.096910013008056
2.09215283495727,88.39,39.4183903756435,28,13,88.39,9.17972586048074,6.60116699146362,6.60116699146362,9,0.561610292265054,22.3726111382385,-0.489558226781805,7.397940008672037
2.0926470541677,88.39,39.5529433768222,28,13,88.39,10.4863711917841,7.03360702634616,7.03360702634616,9,0.588073192239859,19.6872447872444,-0.368518464338136,5.543633966870957
2.09175610488989,100.42,45.4876161273347,24,15,100.42,9.65524909014015,7.16310147405655,7.16310147405655,4,0.63544816074578,20.1901022376854,-0.41655575378857,5.892790030352131
2.09395705442434,88.39,42.7174076391537,28,13,88.39,9.42229972972339,7.06213515575058,7.06213515575058,9,0.623102481733434,17.0141453650823,-0.405987274665316,5.795880017344075
2.09938233441598,75.5,31.9085689117876,31,9,75.5,7.4709162209088,5.64124652285205,5.64124652285205,16,0.388534580498866,10.7795669772364,-0.176646660541008,5.197226274708024
2.09988921613502,75.5,35.3766297856776,32,10,75.5,7.28840106426659,5.73219650379775,5.73219650379775,16,0.442704396573444,10.9781307853938,-0.190041679553768,4.522878745280337
2.0998383859168,75.5,33.9168364610293,31,9,75.5,7.7860111077165,5.72034328044433,5.72034328044433,16,0.487300012597632,10.9897649571748,-0.203287946898648,5.769551078621726
2.09991777308681,75.5,36.4897225796293,32,10,75.5,9.08279209065799,6.52081793661177,6.52081793661177,16,0.483520723104057,11.2228823633225,-0.229353009301275,4.522878745280337
2.09965997635001,75.5,36.9721530278381,32,10,75.5,9.50160854512928,6.52081793661177,6.52081793661177,16,0.483520723104057,17.3763516891335,-0.251082136032925,4.522878745280337
2.0922558099583,100.42,47.9329797315713,24,15,100.42,9.59591327636405,7.16310147405656,7.16310147405656,4,0.63544816074578,20.0678422343502,-0.372850178160495,5.935542010773082
2.09325706699376,100.42,48.5412445033166,25,16,100.42,9.73232576749488,7.19298805431951,7.19298805431951,4,0.693397266313934,17.4898074095013,-0.387366956142915,6.251811972993799
