RCI,C-006,SssNH,CATS2D_08_DP,B04[O-O],B06[C-Br],B06[O-Cl],B08[N-Cl],F06[C-Br],CATS3D_08_DD,CATS3D_03_DL,CATS3D_14_AP,CATS3D_10_AL,CATS3D_13_PL,alvo
1.07407407407407,0,5.0437783866859,0,0,0,1,0,0,1,4,0,5,0,5.790484985457369
1.07407407407407,0,5.30809725734176,0,0,0,1,1,0,1,4,0,5,0,6.180456064458132
1.07407407407407,0,5.17378090621222,0,0,0,1,1,0,1,4,0,5,0,4.522878745280337
1.07407407407407,0,5.3605638736179,0,0,0,1,1,0,1,4,0,6,0,5.554395796726403
1.07407407407407,0,5.37959173898276,0,0,0,1,0,0,1,4,0,6,0,5.7447274948966935
1.07407407407407,0,5.02118241733169,0,0,0,1,0,0,1,4,0,5,0,4.897223385116559
1.07407407407407,0,5.86676357067841,0,0,0,0,0,0,1,5,0,4,0,5.150580586203101
1.07407407407407,0,5.52744344025937,0,0,0,1,1,0,1,4,0,5,0,6.045757490560675
1.07407407407407,0,5.5188564920021,0,0,0,0,1,0,1,4,0,4,0,5.939302159646388
1.07407407407407,0,7.43634707647333,0,0,0,0,0,0,1,5,0,1,0,5.563837352959244
1.07407407407407,0,6.95310225403939,0,0,0,0,0,0,1,5,0,1,0,6.958607314841775
1.07407407407407,0,7.21403545830315,0,0,0,0,0,0,1,5,0,1,0,6.3872161432802645
1.07407407407407,0,7.32414085122285,0,0,0,1,1,0,1,5,0,2,0,6.096910013008056
1.07407407407407,0,5.29951030908448,0,0,0,1,1,0,1,4,0,5,0,7.397940008672037
1.07407407407407,0,5.2114482273594,0,0,0,1,1,0,1,4,0,5,0,5.543633966870957
1.07407407407407,0,7.56443375347801,0,0,0,0,1,0,1,5,0,1,0,5.892790030352131
1.07407407407407,0,5.09460502554739,0,0,0,1,0,0,1,4,0,5,0,5.795880017344075
1.07407407407407,0,5.88579143604327,0,0,0,0,0,0,1,5,0,5,0,5.197226274708024
1.07407407407407,0,5.52738211439219,0,0,0,0,0,0,1,5,0,5,0,4.522878745280337
1.07407407407407,0,5.60080472260789,0,0,0,0,0,0,1,5,0,3,0,5.769551078621726
1.07407407407407,0,5.40165271151993,0,0,0,0,0,0,1,5,0,3,0,4.522878745280337
1.07407407407407,0,5.49830174150229,0,0,0,1,0,0,1,5,0,3,0,4.522878745280337
1.07407407407407,0,7.73431064541125,0,0,0,0,1,0,1,5,0,2,0,5.935542010773082
1.07407407407407,0,7.34597979165771,0,0,0,0,0,0,1,5,0,1,0,6.251811972993799
1.07407407407407,0,7.42483294842045,0,0,0,0,0,0,1,5,0,1,0,5.756961951313706
1.07407407407407,0,6.94158812598651,0,0,0,0,0,0,1,5,0,1,0,8.0
1.07407407407407,0,4.66751988328454,0,0,0,1,0,0,1,4,0,5,0,6.259637310505756
