F03[C-N],SpMin1_Bh(p),RNCG,SpDiam_B(p),F05[C-C],F06[C-N],CATS3D_07_LL,F10[N-Cl],nCb-,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
9,2.08647931227245,0.146119214896193,5.8128707774013,21,9,5,0,4,6,81.0251547330616,0.264506869872414,0,4.861697301833718
9,2.08651415006922,0.133642365596854,5.8149727873644,19,8,5,0,5,5,70.0252668454551,-0.0809146988041189,1,5.85078088734462
9,2.08769753705472,0.157063715313508,5.81367748267197,19,8,9,0,5,8,25.1449270324178,-0.0046797673072344,0,6.086186147616283
9,2.08647003622582,0.146324749508522,5.81275485861368,20,8,5,0,4,5,81.0251547330616,-0.0279132713444965,0,6.366531544420414
9,2.08656870304183,0.17025182472354,5.81340066185761,23,9,4,0,5,5,47.1447028076306,-0.108410774248795,0,5.4156687756324695
12,2.09305075387095,0.0945166876968622,5.83348653180416,27,14,4,1,8,10,110.130307148885,-0.0857217927223188,1,5.966576244513051
12,2.09301384624112,0.120992514189746,5.82884265196669,29,15,5,1,7,11,121.130195036492,0.136426610450656,0,5.823908740944319
14,2.09161171450811,0.0991199796852808,5.8262001950927,24,17,2,0,7,11,80.2100806068604,0.0672586726979128,0,5.425968732272281
14,2.09324728909685,0.085994871586899,5.82794450457889,24,17,2,0,7,12,125.090420419898,0.0044728185106627,0,6.356547323513813
9,2.08668915621692,0.148111299004496,5.81474632169287,26,10,2,0,6,5,58.144590695237,-0.130237980188807,0,5.812479279163537
12,2.093654664768,0.094899665986564,5.82929552795401,28,15,5,1,7,11,110.130307148885,0.184961341460749,0,6.251811972993799
12,2.09502005934863,0.0837234375374113,5.83667318883624,27,14,5,1,8,11,155.010646961923,-0.0765282991922008,0,5.935542010773082
12,2.09385106569626,0.0915180656179078,5.83349753397915,27,14,4,1,8,10,125.090420419898,-0.0820155216562472,0,5.943095148663527
14,2.09246748562478,0.110427610526827,5.82672702856492,26,18,2,0,7,12,136.090308307504,0.194392853216597,0,6.022276394711152
