Mi,PW4,VE2sign_D,VE2_H2,SpMAD_D/Dt,MATS8i,GGI10,SpMax6_Bh(e),SpMax6_Bh(i),SpMin1_Bh(s),SM14_EA,CMBL,TDB10p,Mor10i,P2v,G1e,E3e,G2i,HATS7u,HATS5p,HATS6p,HATS2i,R6p,R8p+,B04[N-N],B06[C-N],B06[N-Cl],B10[O-Cl],BLTF96,alvo
1.131898,0.189039,0.000296,0.148291,1.439908,-0.078335,0.128875,3.295112,3.34111,1.39489,17.120127,1.712,2.847507,0.580286,0.2663,0.145816,0.276069,0.15412,0.296246,0.088742,0.099908,0.377101,0.378416,0.012032,1,1,0,0,-2.805155,6.463442
1.134472,0.178139,0.001813,0.151171,1.49571,-0.08879,0.132129,3.176948,3.226365,1.327096,17.343335,1.712,3.035761,-0.68512,0.232972,0.152565,0.31166,0.17303,0.276312,0.077975,0.089293,0.378408,0.328169,0.015127,1,1,0,0,-4.079121,7.337242
1.112882,0.204684,0.002947,0.148854,1.337939,0.039893,0.093668,3.245537,3.259259,1.229437,17.092577,1.715,3.587057,-1.05521,0.264756,0.1469,0.388142,0.151516,0.366271,0.108424,0.139863,0.340548,0.499465,0.015084,1,1,0,0,-3.726658,5.102813
1.118152,0.189649,0.007292,0.153017,1.34179,-0.033872,0.087132,3.111052,3.206102,1.2291,16.855314,1.715,3.468702,-1.252265,0.276202,0.174312,0.258545,0.164292,0.380224,0.110311,0.125856,0.414841,0.422431,0.014141,1,1,1,1,-3.233412,5
1.134732,0.171476,0.000575,0.159715,1.529292,-0.235883,0.061932,3.15895,3.216279,1.284587,17.011754,1.715,2.175171,-0.804354,0.294268,0.150515,0.416075,0.169467,0.326955,0.081142,0.094805,0.379881,0.332776,0.010386,1,1,0,0,-2.395994,6.310691
1.133508,0.171476,0.000575,0.159715,1.529292,-0.23896,0.061932,3.1771,3.238433,1.394892,17.011754,1.712,2.403384,-0.023054,0.279571,0.149244,0.404336,0.1673,0.304611,0.069814,0.083457,0.35927,0.32,0.009464,1,1,0,0,-3.254091,7.638272
1.148265,0.194336,0.001499,0.123119,1.486437,-0.178568,0.217329,3.263003,3.30541,1.314436,17.794797,1.715,2.649523,-0.070199,0.276623,0.161364,0.490356,0.161364,0.249514,0.09075,0.090039,0.442905,0.340531,0.013025,1,1,0,0,-3.608925,7.619789
1.143624,0.187136,0,0.146215,1.538064,-0.270359,0.287832,3.297088,3.350908,1.218944,17.849374,1.715,2.893572,-0.481888,0.336598,0.148041,0.391402,0.173513,0.217509,0.083712,0.090536,0.395728,0.36287,0.009851,1,1,0,0,-3.700638,7.387216
1.151354,0.190432,0.00321,0.135461,1.521685,-0.226139,0.163763,3.293067,3.335406,1.212542,17.688473,1.715,2.583247,-0.094622,0.275074,0.162306,0.361669,0.162306,0.252291,0.087935,0.086507,0.458203,0.311985,0.010514,1,1,0,0,-3.422957,7.619789
1.114005,0.182497,0.000621,0.162008,1.413324,-0.147975,0.053668,3.08594,3.125464,1.192097,16.865034,1.731,3.399454,1.014639,0.257287,0.154812,0.339756,0.154812,0.238469,0.062583,0.085555,0.405181,0.311805,0.01747,1,1,0,0,-4.55909,6.974694
1.14355,0.179992,0.005551,0.144767,1.401652,-0.179204,0.085199,3.188473,3.235989,1.406436,17.267668,1.712,2.873212,0.361349,0.263519,0.145816,0.458045,0.161605,0.297562,0.093975,0.09851,0.347348,0.407707,0.008357,1,1,0,0,-4.020473,7.585027
1.14232,0.167805,0.001325,0.155781,1.460071,-0.220511,0.094888,3.156285,3.206102,1.3966,17.492368,1.713,2.478474,1.096217,0.342588,0.16033,0.429925,0.164315,0.287134,0.077748,0.091744,0.379134,0.390296,0.009181,1,1,0,0,-4.50402,8.327902
1.144886,0.17898,0.004139,0.117277,1.459056,-0.144972,0.177431,3.085698,3.156756,1.33017,17.888943,1.712,3.196654,-0.691129,0.235216,0.166429,0.410151,0.166429,0.326452,0.082715,0.109228,0.443448,0.380847,0.015405,1,1,0,0,-4.934602,7.309804
1.144498,0.175164,0.005421,0.133071,1.531541,-0.187761,0.136211,3.115733,3.164059,1.284753,17.818842,1.733,2.455234,-0.3182,0.265043,0.163281,0.47261,0.163281,0.389416,0.103789,0.131088,0.448684,0.431883,0.008858,1,1,0,0,-3.254091,8.221849
1.135285,0.184787,0.005003,0.147016,1.45798,-0.106835,0.060406,3.206662,3.274138,1.406425,16.618081,1.713,3.278507,-0.089482,0.265665,0.147463,0.393259,0.156317,0.219877,0.067506,0.064329,0.373978,0.271937,0.008613,1,1,0,0,-2.79542,6.818156
